SO43659,2017-07-01,2024.99,2024.99
SO43659,2017-07-01,2024.99,6074.97
SO43659,2017-07-01,2024.99,2024.99
SO43659,2017-07-01,2039.99,2039.99
SO43659,2017-07-01,2039.99,2039.99
SO43659,2017-07-01,2039.99,4079.98
SO43659,2017-07-01,2039.99,2039.99
SO43659,2017-07-01,28.84,86.52
SO43659,2017-07-01,28.84,28.84
SO43659,2017-07-01,5.70,34.20
SO43659,2017-07-01,5.19,10.38
SO43659,2017-07-01,20.19,80.76
SO43660,2017-07-01,419.46,419.46
SO43660,2017-07-01,874.79,874.79
SO43661,2017-07-02,809.76,809.76
SO43661,2017-07-02,714.70,714.70
SO43661,2017-07-02,714.70,1429.40
SO43661,2017-07-02,5.19,20.76
SO43661,2017-07-02,28.84,115.36
SO43661,2017-07-02,722.59,1445.18
SO43661,2017-07-02,2024.99,6074.97
SO43661,2017-07-02,2024.99,4049.98
SO43661,2017-07-02,20.19,40.38
SO43661,2017-07-02,818.70,1637.40
SO43661,2017-07-02,2024.99,8099.96
SO43661,2017-07-02,2039.99,4079.98
SO43661,2017-07-02,28.84,57.68
SO43661,2017-07-02,2024.99,4049.98
SO43661,2017-07-02,20.19,100.95
SO43662,2017-07-03,419.46,1258.38
SO43662,2017-07-03,419.46,2097.30
SO43662,2017-07-03,183.94,367.88
SO43662,2017-07-03,874.79,3499.16
SO43662,2017-07-03,183.94,551.82
SO43662,2017-07-03,419.46,2097.30
SO43662,2017-07-03,419.46,1258.38
SO43662,2017-07-03,419.46,838.92
SO43662,2017-07-03,2146.96,2146.96
SO43662,2017-07-03,874.79,874.79
SO43662,2017-07-03,419.46,1258.38
SO43662,2017-07-03,356.90,356.90
SO43662,2017-07-03,874.79,5248.74
SO43662,2017-07-03,183.94,183.94
SO43662,2017-07-03,178.58,535.74
SO43662,2017-07-03,2146.96,2146.96
SO43662,2017-07-03,419.46,1258.38
SO43662,2017-07-03,183.94,183.94
SO43662,2017-07-03,356.90,356.90
SO43662,2017-07-03,178.58,178.58
SO43662,2017-07-03,419.46,1258.38
SO43662,2017-07-03,874.79,874.79
SO43663,2017-07-03,419.46,419.46
SO43664,2017-07-04,2039.99,2039.99
SO43664,2017-07-04,2024.99,8099.96
SO43664,2017-07-04,28.84,28.84
SO43664,2017-07-04,28.84,28.84
SO43664,2017-07-04,2024.99,4049.98
SO43664,2017-07-04,2039.99,6119.97
SO43664,2017-07-04,2039.99,2039.99
SO43664,2017-07-04,2024.99,2024.99
SO43665,2017-07-04,20.19,40.38
SO43665,2017-07-04,2039.99,2039.99
SO43665,2017-07-04,20.19,20.19
SO43665,2017-07-04,28.84,57.68
SO43665,2017-07-04,2024.99,4049.98
SO43665,2017-07-04,5.19,10.38
SO43665,2017-07-04,2024.99,4049.98
SO43665,2017-07-04,2024.99,2024.99
SO43665,2017-07-04,5.70,34.20
SO43665,2017-07-04,2024.99,2024.99
SO43666,2017-07-05,419.46,419.46
SO43666,2017-07-05,2146.96,2146.96
SO43666,2017-07-05,356.90,356.90
SO43666,2017-07-05,874.79,874.79
SO43666,2017-07-05,419.46,838.92
SO43666,2017-07-05,419.46,419.46
SO43667,2017-07-06,5.70,17.10
SO43667,2017-07-06,2039.99,2039.99
SO43667,2017-07-06,2024.99,2024.99
SO43667,2017-07-06,2024.99,2024.99
SO43668,2017-07-07,874.79,2624.37
SO43668,2017-07-07,2146.96,4293.92
SO43668,2017-07-07,419.46,2936.22
SO43668,2017-07-07,419.46,2516.76
SO43668,2017-07-07,28.84,173.04
SO43668,2017-07-07,183.94,1103.64
SO43668,2017-07-07,20.19,40.38
SO43668,2017-07-07,20.19,40.38
SO43668,2017-07-07,874.79,1749.58
SO43668,2017-07-07,5.19,20.76
SO43668,2017-07-07,183.94,367.88
SO43668,2017-07-07,874.79,2624.37
SO43668,2017-07-07,419.46,1258.38
SO43668,2017-07-07,419.46,838.92
SO43668,2017-07-07,183.94,551.82
SO43668,2017-07-07,419.46,838.92
SO43668,2017-07-07,419.46,838.92
SO43668,2017-07-07,183.94,367.88
SO43668,2017-07-07,28.84,28.84
SO43668,2017-07-07,419.46,838.92
SO43668,2017-07-07,356.90,1427.60
SO43668,2017-07-07,874.79,5248.74
SO43668,2017-07-07,419.46,1677.84
SO43668,2017-07-07,178.58,535.74
SO43668,2017-07-07,28.84,115.36
SO43668,2017-07-07,178.58,535.74
SO43668,2017-07-07,20.19,20.19
SO43668,2017-07-07,356.90,1070.70
SO43668,2017-07-07,419.46,1258.38
SO43669,2017-07-08,714.70,714.70
SO43670,2017-07-08,5.70,5.70
SO43670,2017-07-08,5.70,11.40
SO43670,2017-07-08,2039.99,4079.98
SO43670,2017-07-08,2024.99,2024.99
SO43671,2017-07-09,2146.96,2146.96
SO43671,2017-07-09,28.84,57.68
SO43671,2017-07-09,874.79,874.79
SO43671,2017-07-09,419.46,838.92
SO43671,2017-07-09,356.90,713.80
SO43671,2017-07-09,419.46,838.92
SO43671,2017-07-09,874.79,1749.58
SO43671,2017-07-09,419.46,838.92
SO43671,2017-07-09,28.84,28.84
SO43671,2017-07-09,20.19,20.19
